designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 68160241930734208,68160241930734208,55.15080857225947,23.892079619924562,10.388999746532404,2.0313399899394655,-24.45434289449823,1.0325933,15.887662,3.1097527,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3312.5474,4.8476,0.1469,100.5751,1.195,0.7408,0.5085,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.4062392445999214
Gaia DR3 64862772198613376,64862772198613376,56.04856385132204,22.877346970493285,10.081009729141726,7.332947362450842,-12.217574667851023,1.8621134,20.694536,1.6388359,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.4156168285168462
Gaia DR3 65103668325506560,65103668325506560,55.404528566784876,23.343526262184913,24.252167860713094,156.34113084597817,-41.3491879712177,1.4286991,12.741735,2.5243425,33.876328,NOT_AVAILABLE,0,true,true,true,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.418830757958446
Gaia DR3 69923618063961216,69923618063961216,56.509518637053745,25.61111386612534,11.388470845537634,34.61579578501903,-42.36153260835785,1.0745339,14.930898,2.6027565,-42.073574,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3471.0554,4.8444,-0.0863,89.4932,0.7589,0.4953,0.3127,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.439606451156365
Gaia DR3 65119748682966912,65119748682966912,55.26518660054799,23.421034545625364,16.51367810217935,45.89205090455022,-98.08186036839945,1.169533,10.236533,1.1993885,6.654363,NOT_AVAILABLE,0,true,true,true,false,false,true,true,4722.204,4.5395,-0.2237,60.4364,0.0023,0.0018,0.001,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.4824828487961528
Gaia DR3 69927191475070080,69927191475070080,56.429369793521616,25.672938523627337,37.8948338405307,-95.36310634385482,-41.318583941565215,0.93671083,18.76321,3.6297073,,NOT_AVAILABLE,0,true,false,false,false,false,false,false,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.509440856485914
Gaia DR3 64157847808753408,64157847808753408,57.806580505116045,23.084983185450266,10.2282517294909,48.109374204463265,-43.32376111900283,1.0070003,16.521078,3.0701637,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3223.8154,4.9518,-0.044,101.9504,0.9899,0.6108,0.4167,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.516822771968615
Gaia DR3 70021405879905536,70021405879905536,56.5083579788377,25.72822164157667,11.191531087920085,133.7722591339737,-106.17164210785886,1.0336566,16.20473,2.69347,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3374.176,5.0134,-0.4734,93.2855,0.8167,0.5271,0.3331,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.556322432152253
Gaia DR3 64129019988396160,64129019988396160,56.99912717589763,22.64155998752111,12.816792033257997,31.866439474651877,-48.57629703072481,1.2351581,15.181017,3.2855387,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.5677865689041062
Gaia DR3 69975466908268416,69975466908268416,57.011749748433786,25.733693143190756,15.469924858731058,-153.88112154820757,-148.36471364825073,1.0365591,20.161133,0.24305725,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.5884670970207133
